"","Endothelial","CAFs","PVL","B-cells","T-cells","Myeloid","Normal Epithelial","Plasmablasts","Cancer Epithelial"
"TCGA-BH-A18H-01A-11R-A12D-07",0.522034455256362,0.16200437431055,0,0,0,0.076860116047595,0,0.0293372199472052,0.209763834438288
"TCGA-E2-A14P-01A-31R-A12D-07",0.285595649882122,0.196672672391609,0,0,0,0.0440366902818349,0,0.0185547808022542,0.455140206642179
"TCGA-AN-A04A-01A-21R-A034-07",0.224258600342688,0.574659495909836,0.0100224949970343,0.00205052582194078,0,0,6.03831374684087e-05,0.00163535982450657,0.187313139966526
"TCGA-5L-AAT1-01A-12R-A41B-07",0.256473704227303,0.438090740154598,0,0,0,0.13825207368903,0,0.0108724968709707,0.156310985058098
"TCGA-AQ-A0Y5-01A-11R-A14M-07",0.233839436619037,0.650843653373906,0,0,0,0.00385002875439754,0,0,0.111466881252659
"TCGA-A8-A07I-01A-11R-A00Z-07",0.26147880919744,0.625006437631035,0,0,0,0.0448896781011791,0,0.0256209960291977,0.0430040790411482
"TCGA-E9-A1R4-01A-21R-A14D-07",0.419887821193878,0.28493367518357,0.0014207060504526,0.00347775645629568,0,0.162657705433815,8.91340634505277e-06,0.00225044654444006,0.125362975731204
"TCGA-AC-A8OP-01A-11R-A36F-07",0.413110562643553,0.32333892846205,0,0,0,0.0113611001885537,0,0.000553678406859085,0.251635730298985
"TCGA-AR-A24Q-01A-12R-A169-07",0.294537407195865,0.386737080075105,0.0999617701836713,0,0,0.0400644854371513,0,0.0258378653410826,0.152861391767124
"TCGA-D8-A1XU-01A-11R-A14M-07",0.261267987634791,0.537252301928377,0,0.000747335002842253,0,0.0270318906584907,0.00290311731412546,0.000636099855155684,0.170161267606218
"TCGA-AO-A03N-01B-11R-A10J-07",0.19015413683135,0.270091017532036,0.00108054025934686,0,0,0,0,0,0.538674305377267
"TCGA-A1-A0SN-01A-11R-A144-07",0.281044840109146,0.483355895898795,0,0,0.00159645938424236,0.0635851364642855,0,0,0.170417668143531
"TCGA-D8-A1JP-01A-11R-A13Q-07",0.231631879191909,0.600607290282527,0,0.000878742775870712,0,0.0257923966460099,0.00056918484084784,0.00091240333374896,0.139608102929086
"TCGA-D8-A1XL-01A-11R-A14M-07",0.316946101869144,0.240506497462226,0,0,0.00106568798708162,0.145297207260576,0,0.0155248864877884,0.280659618933184
"TCGA-B6-A1KI-01A-11R-A14M-07",0.413668416187998,0.32353021348283,0.000626632590575866,0,0,0,0.00163395351013438,0,0.260540784228461
"TCGA-B6-A0IP-01A-11R-A034-07",0.380419561697083,0.280125949679799,0,0,0,0.00866978599760106,0.0286692731088653,0.00426993359348758,0.297845495923164
"TCGA-B6-A0IM-01A-11R-A034-07",0.386704773844258,0.435237249788812,0.000601910459430526,0,0,0,0.000871569764343413,0,0.176584496143155
"TCGA-A1-A0SB-01A-11R-A144-07",0.189920221984588,0.308392590294014,0.0351048900114873,0,0,0,0.466582297709911,0,0
"TCGA-A8-A08B-01A-11R-A00Z-07",0.275140743573762,0.199174291903784,0,0,0,0.0490298651679394,0,0.00680145879447454,0.46985364056004
"TCGA-AN-A0FD-01A-11R-A034-07",0.208414727567163,0.538848171520314,0,0,0,0.00956080261496006,0.0376037030328982,0.00960683631324964,0.195965758951415
"TCGA-3C-AALJ-01A-31R-A41B-07",0.221396085806235,0.378558746591663,0,0,0,0.0684709846301879,0,0.00942206058649803,0.322152122385416
"TCGA-AC-A4ZE-01A-11R-A41B-07",0.48102664074742,0.170030852258054,0,0,0,0,0,0,0.348942506994526
"TCGA-AO-A124-01A-11R-A10J-07",0.33449767564971,0.248172608552228,0.0444887492133523,0,0,0.00644216098987607,0.0941489585433413,0.000988534734011491,0.271261312317481
"TCGA-AR-A24M-01A-11R-A169-07",0.357991939559298,0.522087533285288,0,0.0025051210745896,0,0.0140671262522155,0.000832895000287315,0.00149359112899099,0.10102179369933
"TCGA-E9-A22A-01A-11R-A157-07",0.180179959063427,0.668789524822572,0,0,0,0.0452333831123984,0,0.00357783060923001,0.102219302392373
"TCGA-BH-A0BZ-01A-31R-A12P-07",0.248449457418449,0.544603903448203,0,0.00453781864286053,0,0.0837430593376887,0,0.0084739999862191,0.11019176116658
"TCGA-A8-A07F-01A-11R-A00Z-07",0.444860670639628,0.385415694123731,0,0.00188513996460194,0,0.0528407034130225,0,0.00151351434661399,0.113484277512403
"TCGA-B6-A0WT-01A-11R-A109-07",0.368627246365374,0.500142611255575,0,0,0,0.00255969606803208,0.00312022590936332,0.0115981488267921,0.113952071574864
"TCGA-C8-A12Y-01A-11R-A12D-07",0.243624357369038,0.445818084899543,0,0,0,0.00691431978805902,0,0.00380128790690417,0.299841950036457
"TCGA-AN-A0FF-01A-11R-A034-07",0.477904581152549,0.297639072446555,0,0,0,0.0672528425004853,0,0.00660184665407886,0.150601657246333
