"","Endothelial","CAFs","PVL","B-cells","T-cells","Myeloid","Normal Epithelial","Plasmablasts","Cancer Epithelial"
"TCGA-BH-A18H-01A-11R-A12D-07",0,0,0,0,0,0.178999042343692,0.0546737559083124,0.187583131092769,0.578744070655227
"TCGA-E2-A14P-01A-31R-A12D-07",0,0,0,0,0,0.133752601672712,0,0.071714507790077,0.794532890537211
"TCGA-AN-A04A-01A-21R-A034-07",0,0.925336745002503,0,0,0,0,0,0,0.074663254997497
"TCGA-5L-AAT1-01A-12R-A41B-07",0,0.819455746512656,0,0,0,0.167929893580978,0,0.0126143599063663,0
"TCGA-AQ-A0Y5-01A-11R-A14M-07",0,1,0,0,0,0,0,0,0
"TCGA-A8-A07I-01A-11R-A00Z-07",0,0.960280456272415,0,0,0,0,0,0.0397195437275852,0
"TCGA-E9-A1R4-01A-21R-A14D-07",0,0.228292939718208,0,0,0,0.430345683258574,0,0,0.341361377023219
"TCGA-AC-A8OP-01A-11R-A36F-07",0,0.341372051522,0,0,0,0,0,0,0.658627948478
"TCGA-AR-A24Q-01A-12R-A169-07",0,0.633002459848966,0,0,0,0,0,0.0697620330571294,0.297235507093904
"TCGA-D8-A1XU-01A-11R-A14M-07",0,0.85267940372226,0,0,0,0,0.14732059627774,0,0
"TCGA-AO-A03N-01B-11R-A10J-07",0,0,0,0,0,0,0,0,1
"TCGA-A1-A0SN-01A-11R-A144-07",0,1,0,0,0,0,0,0,0
"TCGA-D8-A1JP-01A-11R-A13Q-07",0,0.888338696983114,0,0,0,0,0,0,0.111661303016886
"TCGA-D8-A1XL-01A-11R-A14M-07",0,0.382870582575687,0,0,0,0.273922475671919,0.30565006419697,0.0375568775554246,0
"TCGA-B6-A1KI-01A-11R-A14M-07",0,0,0,0,0,0,0.142656809535709,0,0.857343190464291
"TCGA-B6-A0IP-01A-11R-A034-07",0,0.246417812351651,0,0,0,0,0.452591809374035,0.00913566088201665,0.291854717392298
"TCGA-B6-A0IM-01A-11R-A034-07",0,0.830934353316389,0,0,0,0,0,0,0.169065646683611
"TCGA-A1-A0SB-01A-11R-A144-07",0,0.14311654641076,0,0,0,0,0.85688345358924,0,0
"TCGA-A8-A08B-01A-11R-A00Z-07",0,0.282114581909439,0,0,0,0.0739039865750027,0.127533351388525,0.0109900831137962,0.505457997013237
"TCGA-AN-A0FD-01A-11R-A034-07",0,0.932665069251719,0,0,0,0,0.0577783678171113,0.0095565629311701,0
"TCGA-3C-AALJ-01A-31R-A41B-07",0,0.518877773506129,0,0,0,0.00956265500088604,0,0.0231563193036433,0.448403252189342
"TCGA-AC-A4ZE-01A-11R-A41B-07",0,0,0,0,0,0,0.255308546946959,0,0.744691453053041
"TCGA-AO-A124-01A-11R-A10J-07",0,0.19792334330588,0,0,0,0.134328188348577,0.51162092644178,0,0.156127541903763
"TCGA-AR-A24M-01A-11R-A169-07",0,0.9823500709964,0,0,0,0,0,0,0.0176499290035998
"TCGA-E9-A22A-01A-11R-A157-07",0,0.999854211364821,0,0,0,0,0,0.000145788635179267,0
"TCGA-BH-A0BZ-01A-31R-A12P-07",0,0.94254135181237,0,0,0,0.0477247735723244,0,0.00973387461530585,0
"TCGA-A8-A07F-01A-11R-A00Z-07",0,1,0,0,0,0,0,0,0
"TCGA-B6-A0WT-01A-11R-A109-07",0,0.956275972974412,0,0,0,0,0,0.0437240270255878,0
"TCGA-C8-A12Y-01A-11R-A12D-07",0,0.801000535782418,0,0,0,0,0.0657740943533919,0.00628747347552271,0.126937896388667
"TCGA-AN-A0FF-01A-11R-A034-07",0,0.781254649816585,0,0,0,0.0550341058579564,0,0.00863305687065666,0.155078187454802
