"","B.cells","CAFs","Cancer.Epithelial","Endothelial","Myeloid","Normal.Epithelial","Plasmablasts","PVL","T.cells"
"000x002",7.02780550359996e-05,0.501138936834096,7.02780653446689e-05,0.0753258122882194,0.121294525084077,0.151420407573545,0.0212337747542955,7.02780651647651e-05,0.129375709280222
"000x003",0.0267860226745947,0.579921477826542,0.0336202517460052,0.11560862562609,0.0513695713046272,0.102856563100934,0.0199416006334789,4.51141826355833e-05,0.0698507729050931
"000x004",0.0215746491492435,0.286928496440359,0.0620038675720928,0.119515393754771,0.183990752815359,0.0911116207205301,0.0602400701929244,0.00164405755124463,0.172991091803475
"000x005",0.000227794135865385,0.344010475159755,0.203261389270716,0.133799488678348,0.0886857097058114,0.17026349100042,0.000227794135865384,0.000227794133446349,0.0592960637797726
"000x029",0.0381572059523807,0.184832038419365,0.0538896020840866,0.279900362799188,0.173980089204531,0.0616587197841571,0.106996867655283,0.000300787806210701,0.100284326294798
"000x032",0.0294587941017654,0.336901367018824,8.08297664359379e-05,0.0845901083992304,0.081570183942503,0.0504860560419369,0.195935953187415,0.0459125009363391,0.17506420660555
"000x033",0.00599301290967587,0.358635108606532,0.00542143200003964,9.91473731776251e-05,0.238156938860828,0.0388619732821651,0.0275285556888647,9.9147373176713e-05,0.325204683905541
"000x034",0.102479847217128,0.329347270360585,0.0421957018809825,0.00027455074823109,0.203111028128626,0.00667911776742508,9.62968246411699e-05,0.00611974334066086,0.309696443731721
"000x035",0.0632525442000456,0.553725236690038,6.4875074131545e-05,6.48750734114787e-05,0.15363304617779,0.0212782915463199,6.48750741311359e-05,6.48750741311347e-05,0.207851381090002
"000x036",0.000148247992716155,0.421664021149327,0.0181341366594827,0.0206926538911901,0.17212399545302,0.140972001003527,0.0001482479978349,0.00199103274611653,0.224125663106786
"000x037",0.0461369264677024,0.285798408380682,0.0395905591445397,0.0405520739085355,0.160635196640714,0.000128533958161889,0.0776746171897057,0.0391878376968043,0.310295846613155
"000x038",0.00755062519183852,0.337322810664082,0.136074860733398,0.0124632104359775,0.221766118873158,0.076754232288815,0.000313582524805639,0.00169923559201659,0.206055323695908
"000x039",6.1425471460172e-05,0.430826008213183,6.14254633411591e-05,0.0252295273571592,0.111590978978444,0.118960741199558,0.258080855559564,6.14254630656923e-05,0.0551276122942247
"000x040",0.00740475604994234,0.746395078150041,0.0110823562550257,0.0279072623614206,0.10126854567861,0.0127301621207846,0.0163917949954622,6.76279060037281e-05,0.0767524164827097
"000x041",0.0800735674381328,0.311147205108258,0.123709675551679,0.0640458326525062,0.152317663507624,0.0316884333855168,0.0582258894816611,0.000197738777700028,0.178593994096923
"000x042",0.0139510578456209,0.0934769319700187,0.703132105009441,0.0222995094289266,0.0278266757067057,0.0782174207407616,0.000108894555193267,0.00689405992182379,0.0540933448215084
"000x043",0.000270030066513729,0.159052833121021,0.573902276339444,0.12267857697683,0.00399768595165099,0.0965871803686155,0.000270030065142407,0.000270030066077601,0.0429713570447047
"000x044",0.0145691927209631,0.226388745506105,0.57491431847304,0.0181931634456556,0.0546776172634168,0.0394136596134908,0.0093455091736881,0.000252772693738203,0.0622450211099027
"000x045",0.0139889732006367,0.596430681312419,0.0873940894515774,0.106049765611745,0.0500015022636101,0.094364330955627,0.000103290931115022,0.000103290931109313,0.0515640753421607
"000x046",0.00812831851069742,0.392642350035021,0.344907756875612,0.122423267369715,0.0429850645255432,0.0169584357951127,0.0265922624313374,0.000136241410087405,0.0452263030468731
"000x047",0.0148990659998833,0.280244336403546,0.402680295464484,0.0299773754678616,0.079711906948806,0.134384585645722,0.000352695569958837,0.000352695570316535,0.0573970429294213
"000x048",0.026648162200752,0.255820665360818,0.283606139075794,0.0764080312290276,0.134836772988531,0.167601903670188,0.000311183451008507,0.0106970943896345,0.0440700476342461
"000x049",0.000149830124969523,0.227086953589303,0.439884439455326,0.0618144051164642,0.0922907445026621,0.104392865941198,0.000149830130741442,0.00014983013266296,0.0740811010066724
"000x050",0.0407356424923877,0.283972532962649,0.37684642685392,0.0323538150365109,0.0897943689611096,0.0611279366497047,0.000500113228941163,0.000500113229577275,0.1141690505852
"000x051",0.000108471955977397,0.423766575601921,0.345497322199608,0.0718402594497845,0.0757936103217852,0.0123062353493035,0.00010847195585385,0.000108471954634455,0.0704705812111322
"001x002",0.0354418414043618,0.242725226163213,0.035839916767843,0.0866411772706783,0.0272302492486288,0.419012191441867,0.0480424193857874,0.000143361821331337,0.104923616496289
"001x003",0.00923858202704742,0.127250024903257,0.00162878238314151,0.129431701248761,0.0346171359766351,0.593125353412502,0.00617949625524212,0.0488644433353746,0.0496644804580391
"001x004",0.0329504152842462,0.441015249435983,0.0564554834047634,0.211150256683559,0.07269706480034,0.139458409598092,0.0116206656881033,0.0212974039311934,0.0133550511737201
"001x005",0.000714520228312842,0.207905048955122,0.0713027862337184,0.186021490628369,0.145366621033145,0.164746086553329,0.000714520226837437,0.0190114504805267,0.204217475660639
"001x019",0.0120512356287209,0.216549095536016,0.0828030778221792,0.419546777797918,0.194771380422743,0.0647309279783196,0.000142677942602513,0.000142677942117235,0.00926214892938331
"001x020",0.0441632018834261,0.165556064744289,0.124046418271458,0.357384400509186,0.131367577700366,0.14316319675947,0.000125882724008573,0.000125882723476977,0.0340673746843198
"001x028",7.86337636850821e-05,0.254304537792168,0.163300478202113,0.26245463822289,0.129392002601623,0.112630821527022,7.86337633330666e-05,0.0659777696720962,0.0117824844550705
"001x031",0.0416499159475699,0.339354188802935,0.119757288590129,0.00284552942222413,0.285306687796072,0.0100735708582107,0.000370477571529526,0.0231063331508967,0.177536007860433
"001x032",0.0202775810715853,0.438930761329813,0.0162862031700822,0.0202802885465235,0.268562564093209,0.0473666453112462,9.22751633182316e-05,9.22751633186573e-05,0.188111406150903
"001x033",0.0127887642910208,0.128381656544127,0.487192450125271,0.0390760724078178,0.139724880846597,0.0731640988673712,0.00421612663141496,0.00164581610055462,0.113810134185826
"001x034",0.0317279811273433,0.251871015753662,0.065399741201717,0.169212862696557,0.162463702897563,0.0427863277471815,0.000281144562674088,0.0716234840001624,0.20463374001314
"001x035",0.0292160844470623,0.272137888602502,0.049349577957528,0.228424440741041,0.126023846983792,0.0317765892811947,0.000123891530791044,0.000123891530791045,0.262823788925298
"001x036",0.0178618993460314,0.425973370583787,0.0411419554753111,0.121319554693757,0.130265058086025,0.0143774569286816,0.0131609150250812,0.000138178563765141,0.23576161129756
"001x037",0.0543917772350435,0.280585350611972,0.0494487800950157,0.104385095725397,0.124663725301993,0.00013679482135939,0.0652981200088403,0.000136794821739426,0.32095356137864
"001x038",0.0567657156604509,0.221022658481935,0.0149637989134674,9.36627644470656e-05,0.142294571212146,0.0392575315492146,0.168951121953256,0.000383217354272859,0.35626772211081
"001x039",0.0174797507811798,0.363127581906086,0.0160604707617451,0.126783793279215,0.128968541380649,0.0146124571079092,0.14040956318138,0.000195405139282479,0.192362436462554
"001x040",0.018329706828206,0.317295580665883,0.055238070490796,0.178715184611047,0.192113060319855,0.0293370378814235,0.0145356326919841,0.000198177219410622,0.194237549291395
"001x041",0.0110989555145759,0.110960563341857,0.653518965359992,0.00277253182747472,0.0524964350107973,0.0550837786487731,0.0191251742380711,0.000245500749728877,0.0946980953087295
"001x042",0.0100409336635426,0.240063551045115,0.387152003889051,0.00546384791072892,0.0840564604200924,0.110002393418833,0.0371253817215006,0.000317710718176706,0.125777717212959
"001x043",0.000111725467001653,0.177395116477142,0.650304525810978,0.0195848274756512,0.0449690356727531,0.0496876111476974,0.0063019883314733,0.000111725468950907,0.0515334441483518
