"","x","y"
"000x000",1187.56186333919,5007.41642104869
"000x001",1552.57884600342,5007.41642104869
"000x002",1917.59582866765,5007.41642104869
"000x003",2282.61281133187,5007.41642104869
"000x004",2647.6297939961,5007.41642104869
"000x005",3012.64677666033,5007.41642104869
"000x006",3377.66375932455,5007.41642104869
"000x007",3742.68074198878,5007.41642104869
"000x008",4107.69772465301,5007.41642104869
"000x009",4472.71470731724,5007.41642104869
"000x010",4837.73168998146,5007.41642104869
"000x011",5202.74867264569,5007.41642104869
"000x012",5567.76565530992,5007.41642104869
"000x013",5932.78263797414,5007.41642104869
"000x014",6297.79962063837,5007.41642104869
"000x015",6662.8166033026,5007.41642104869
"000x016",7027.83358596683,5007.41642104869
"000x017",7392.85056863105,5007.41642104869
"000x018",7757.86755129528,5007.41642104869
"000x019",8122.88453395951,5007.41642104869
"000x020",8487.90151662374,5007.41642104869
"000x021",8852.91849928796,5007.41642104869
"000x022",9217.93548195219,5007.41642104869
"000x023",9582.95246461642,5007.41642104869
"000x024",9947.96944728064,5007.41642104869
"000x025",10312.9864299449,5007.41642104869
"000x026",10678.0034126091,5007.41642104869
"000x027",11043.0203952733,5007.41642104869
"000x028",11408.0373779376,5007.41642104869
"000x029",11773.0543606018,5007.41642104869
"000x030",12138.071343266,5007.41642104869
"000x031",12503.0883259302,5007.41642104869
"000x032",12868.1053085945,5007.41642104869
"000x033",13233.1222912587,5007.41642104869
"000x034",13598.1392739229,5007.41642104869
"000x035",13963.1562565871,5007.41642104869
"000x036",14328.1732392514,5007.41642104869
"000x037",14693.1902219156,5007.41642104869
"000x038",15058.2072045798,5007.41642104869
"000x039",15423.2241872441,5007.41642104869
"000x040",15788.2411699083,5007.41642104869
"000x041",16153.2581525725,5007.41642104869
"000x042",16518.2751352367,5007.41642104869
"000x043",16883.292117901,5007.41642104869
"000x044",17248.3091005652,5007.41642104869
"000x045",17613.3260832294,5007.41642104869
"000x046",17978.3430658936,5007.41642104869
"000x047",18343.3600485579,5007.41642104869
"000x048",18708.3770312221,5007.41642104869
"000x049",19073.3940138863,5007.41642104869
"000x050",19438.4109965506,5007.41642104869
"000x051",19803.4279792148,5007.41642104869
"000x052",20168.444961879,5007.41642104869
"001x000",1187.56186333919,5372.43340371292
"001x001",1552.57884600342,5372.43340371292
"001x002",1917.59582866765,5372.43340371292
"001x003",2282.61281133187,5372.43340371292
"001x004",2647.6297939961,5372.43340371292
"001x005",3012.64677666033,5372.43340371292
"001x006",3377.66375932455,5372.43340371292
"001x007",3742.68074198878,5372.43340371292
"001x008",4107.69772465301,5372.43340371292
"001x009",4472.71470731724,5372.43340371292
"001x010",4837.73168998146,5372.43340371292
"001x011",5202.74867264569,5372.43340371292
"001x012",5567.76565530992,5372.43340371292
"001x013",5932.78263797414,5372.43340371292
"001x014",6297.79962063837,5372.43340371292
"001x015",6662.8166033026,5372.43340371292
"001x016",7027.83358596683,5372.43340371292
"001x017",7392.85056863105,5372.43340371292
"001x018",7757.86755129528,5372.43340371292
"001x019",8122.88453395951,5372.43340371292
"001x020",8487.90151662374,5372.43340371292
"001x021",8852.91849928796,5372.43340371292
"001x022",9217.93548195219,5372.43340371292
"001x023",9582.95246461642,5372.43340371292
"001x024",9947.96944728064,5372.43340371292
"001x025",10312.9864299449,5372.43340371292
"001x026",10678.0034126091,5372.43340371292
"001x027",11043.0203952733,5372.43340371292
"001x028",11408.0373779376,5372.43340371292
"001x029",11773.0543606018,5372.43340371292
"001x030",12138.071343266,5372.43340371292
"001x031",12503.0883259302,5372.43340371292
"001x032",12868.1053085945,5372.43340371292
"001x033",13233.1222912587,5372.43340371292
"001x034",13598.1392739229,5372.43340371292
"001x035",13963.1562565871,5372.43340371292
"001x036",14328.1732392514,5372.43340371292
"001x037",14693.1902219156,5372.43340371292
"001x038",15058.2072045798,5372.43340371292
"001x039",15423.2241872441,5372.43340371292
"001x040",15788.2411699083,5372.43340371292
"001x041",16153.2581525725,5372.43340371292
"001x042",16518.2751352367,5372.43340371292
"001x043",16883.292117901,5372.43340371292
"001x044",17248.3091005652,5372.43340371292
"001x045",17613.3260832294,5372.43340371292
"001x046",17978.3430658936,5372.43340371292
"001x047",18343.3600485579,5372.43340371292
"001x048",18708.3770312221,5372.43340371292
"001x049",19073.3940138863,5372.43340371292
"001x050",19438.4109965506,5372.43340371292
"001x051",19803.4279792148,5372.43340371292
"001x052",20168.444961879,5372.43340371292
"002x000",1187.56186333919,5737.45038637714
"002x001",1552.57884600342,5737.45038637714
"002x002",1917.59582866765,5737.45038637714
"002x003",2282.61281133187,5737.45038637714
"002x004",2647.6297939961,5737.45038637714
"002x005",3012.64677666033,5737.45038637714
"002x006",3377.66375932455,5737.45038637714
"002x007",3742.68074198878,5737.45038637714
"002x008",4107.69772465301,5737.45038637714
"002x009",4472.71470731724,5737.45038637714
"002x010",4837.73168998146,5737.45038637714
"002x011",5202.74867264569,5737.45038637714
"002x012",5567.76565530992,5737.45038637714
"002x013",5932.78263797414,5737.45038637714
"002x014",6297.79962063837,5737.45038637714
"002x015",6662.8166033026,5737.45038637714
"002x016",7027.83358596683,5737.45038637714
"002x017",7392.85056863105,5737.45038637714
"002x018",7757.86755129528,5737.45038637714
"002x019",8122.88453395951,5737.45038637714
"002x020",8487.90151662374,5737.45038637714
"002x021",8852.91849928796,5737.45038637714
"002x022",9217.93548195219,5737.45038637714
"002x023",9582.95246461642,5737.45038637714
"002x024",9947.96944728064,5737.45038637714
"002x025",10312.9864299449,5737.45038637714
"002x026",10678.0034126091,5737.45038637714
"002x027",11043.0203952733,5737.45038637714
"002x028",11408.0373779376,5737.45038637714
"002x029",11773.0543606018,5737.45038637714
"002x030",12138.071343266,5737.45038637714
"002x031",12503.0883259302,5737.45038637714
"002x032",12868.1053085945,5737.45038637714
